epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,113.113,1.8714,1.22532,0.94326,0.90316,0.7141,0.81457,0.37229,2.00899,1.42357,0.97612,0.0005941,0.0005941,0.0005941
43,115.753,1.84122,1.20982,0.92075,0.84193,0.73623,0.7912,0.36248,2.01606,1.49142,0.97659,0.0005842,0.0005842,0.0005842
44,118.381,1.82793,1.16302,0.9095,0.92327,0.6522,0.78399,0.37853,2.00332,1.48141,0.97818,0.0005743,0.0005743,0.0005743
45,120.991,1.87353,1.18384,0.92665,0.87115,0.71995,0.8028,0.37938,2.00966,1.41127,0.97567,0.0005644,0.0005644,0.0005644
46,123.571,1.805,1.14659,0.91748,0.93061,0.70138,0.80317,0.39013,1.94383,1.48145,0.96974,0.0005545,0.0005545,0.0005545
47,126.189,1.81558,1.12963,0.93123,0.89444,0.7349,0.8213,0.39638,1.97226,1.42258,0.97312,0.0005446,0.0005446,0.0005446
48,128.799,1.84093,1.14077,0.93472,0.87494,0.76342,0.82572,0.38086,2.01261,1.38497,0.97825,0.0005347,0.0005347,0.0005347
49,131.36,1.8647,1.16214,0.92588,0.87558,0.72296,0.80876,0.37796,2.00312,1.38942,0.97795,0.0005248,0.0005248,0.0005248
50,134.035,1.80185,1.11794,0.91583,0.92868,0.73243,0.83628,0.39099,1.97804,1.39878,0.97183,0.0005149,0.0005149,0.0005149
51,136.659,1.7489,1.08033,0.91554,0.85543,0.72609,0.79019,0.37267,1.98476,1.39649,0.97728,0.000505,0.000505,0.000505
52,139.27,1.79569,1.12001,0.91951,0.88973,0.7375,0.82694,0.39727,1.96308,1.35565,0.96469,0.0004951,0.0004951,0.0004951
53,141.891,1.75618,1.07519,0.92109,0.92016,0.73011,0.826,0.3839,2.00977,1.39142,0.97263,0.0004852,0.0004852,0.0004852
54,144.56,1.76816,1.07246,0.91138,0.89712,0.74898,0.83541,0.39007,1.99504,1.32469,0.97493,0.0004753,0.0004753,0.0004753
55,226.126,1.77496,1.12729,0.90914,0.90402,0.73508,0.82245,0.36848,1.97969,1.33936,0.97505,0.0004654,0.0004654,0.0004654
56,149.81,1.76593,1.08579,0.90647,0.88198,0.76155,0.82798,0.38639,2.00654,1.35301,0.97251,0.0004555,0.0004555,0.0004555
57,231.318,1.76357,1.06316,0.91752,0.90806,0.73594,0.81435,0.37497,2.00417,1.4126,0.97388,0.0004456,0.0004456,0.0004456
58,155.059,1.76084,1.07323,0.90574,0.87336,0.7616,0.81436,0.37778,1.9344,1.33141,0.9681,0.0004357,0.0004357,0.0004357
59,157.858,1.75506,1.07071,0.9086,0.8697,0.77232,0.82576,0.37073,2.01397,1.30875,0.97114,0.0004258,0.0004258,0.0004258
60,160.432,1.75625,1.05406,0.91233,0.90944,0.74078,0.83237,0.38549,1.95702,1.3053,0.96991,0.0004159,0.0004159,0.0004159
61,163.119,1.73126,1.03128,0.91319,0.86449,0.77076,0.83521,0.38503,1.9882,1.31535,0.97149,0.000406,0.000406,0.000406
62,165.87,1.73082,1.00859,0.9043,0.89232,0.76182,0.84022,0.38054,1.98868,1.36336,0.96933,0.0003961,0.0003961,0.0003961
63,168.487,1.73912,1.01038,0.91022,0.90317,0.77434,0.84275,0.38746,1.97625,1.33394,0.96815,0.0003862,0.0003862,0.0003862
64,171.136,1.7136,1.02938,0.89481,0.88809,0.77233,0.82838,0.37521,2.01554,1.3429,0.9772,0.0003763,0.0003763,0.0003763
65,173.755,1.67488,0.97707,0.90221,0.86833,0.76873,0.82958,0.36867,2.03328,1.34555,0.98192,0.0003664,0.0003664,0.0003664
66,176.407,1.72255,0.97797,0.90367,0.90519,0.75572,0.84161,0.37227,1.97719,1.31281,0.97059,0.0003565,0.0003565,0.0003565
67,179.049,1.71597,1.00807,0.90789,0.9109,0.77853,0.85116,0.4016,1.94807,1.27291,0.96185,0.0003466,0.0003466,0.0003466
68,181.664,1.69441,0.99048,0.89894,0.91947,0.79126,0.85295,0.40015,1.96093,1.28994,0.96645,0.0003367,0.0003367,0.0003367
69,184.246,1.70806,0.99424,0.89972,0.92961,0.75858,0.85212,0.40991,1.96845,1.34438,0.96063,0.0003268,0.0003268,0.0003268
70,186.869,1.69227,0.98141,0.90045,0.92456,0.78526,0.86023,0.41351,1.91874,1.23066,0.95924,0.0003169,0.0003169,0.0003169
71,189.54,1.64711,0.94023,0.90287,0.88938,0.79623,0.85023,0.40797,1.92758,1.18715,0.96077,0.000307,0.000307,0.000307
72,271.204,1.61619,0.94736,0.89341,0.92508,0.7695,0.84094,0.41739,1.93029,1.25673,0.95964,0.0002971,0.0002971,0.0002971
73,194.996,1.70641,0.97537,0.89282,0.85113,0.78623,0.82945,0.38772,2.00057,1.27131,0.97565,0.0002872,0.0002872,0.0002872
74,197.701,1.68846,0.96407,0.89975,0.90655,0.76237,0.8324,0.40347,1.91053,1.22731,0.96161,0.0002773,0.0002773,0.0002773
75,200.351,1.72183,0.99334,0.90389,0.91077,0.77359,0.83946,0.40201,1.91548,1.21182,0.95594,0.0002674,0.0002674,0.0002674
76,202.962,1.69533,0.9977,0.88721,0.88974,0.78098,0.8537,0.40313,1.9368,1.25081,0.95883,0.0002575,0.0002575,0.0002575
77,205.574,1.65633,0.95922,0.8833,0.91347,0.78826,0.8509,0.39601,1.94852,1.25909,0.96218,0.0002476,0.0002476,0.0002476
78,208.209,1.66089,0.93298,0.89553,0.91992,0.76824,0.84316,0.39449,1.93231,1.29581,0.95956,0.0002377,0.0002377,0.0002377
79,210.841,1.62891,0.93236,0.89481,0.91319,0.76332,0.84805,0.39387,1.9515,1.31595,0.95908,0.0002278,0.0002278,0.0002278
80,213.488,1.63968,0.9342,0.89062,0.91168,0.79461,0.85348,0.41245,1.92192,1.21215,0.96112,0.0002179,0.0002179,0.0002179
81,216.115,1.66374,0.93964,0.89145,0.91521,0.76635,0.85368,0.41342,1.93176,1.20203,0.95785,0.000208,0.000208,0.000208
82,218.756,1.64931,0.92579,0.8879,0.90863,0.76996,0.84444,0.39863,1.94022,1.23217,0.96162,0.0001981,0.0001981,0.0001981
83,221.372,1.62789,0.91909,0.88756,0.90821,0.78173,0.84817,0.40966,1.92415,1.19891,0.95572,0.0001882,0.0001882,0.0001882
84,223.97,1.60075,0.90089,0.88887,0.88843,0.79379,0.84621,0.39201,1.92982,1.2201,0.95554,0.0001783,0.0001783,0.0001783
85,226.58,1.58471,0.8843,0.87989,0.88383,0.78253,0.84796,0.40035,1.9123,1.21849,0.95392,0.0001684,0.0001684,0.0001684
86,229.264,1.58226,0.8714,0.88579,0.90267,0.78614,0.84413,0.40158,1.91777,1.20198,0.95415,0.0001585,0.0001585,0.0001585
87,231.911,1.62098,0.89517,0.89018,0.9447,0.75827,0.85514,0.39945,1.90549,1.18124,0.95239,0.0001486,0.0001486,0.0001486
88,234.555,1.60847,0.91373,0.89387,0.94278,0.75367,0.8549,0.40033,1.89583,1.18654,0.95185,0.0001387,0.0001387,0.0001387
89,237.167,1.60639,0.89561,0.88231,0.93884,0.74745,0.84247,0.40934,1.89114,1.18529,0.95091,0.0001288,0.0001288,0.0001288
90,239.739,1.59025,0.89631,0.88806,0.90635,0.79063,0.85708,0.40808,1.90502,1.18671,0.95088,0.0001189,0.0001189,0.0001189
